Name,Last,High,Low,Chg.,Change%,Vol.,Time,Ticker
Boeing,180.88,185.80,180.11,-5.27,-2.83%,7.86M,16:00:09,BA
General Motors,47.89,47.91,46.76,0.09,0.19%,5.8M,16:00:09,GM
Chevron,158.79,158.95,157.07,1.56,0.99%,6.26M,16:00:09,CVX
Citigroup,81.34,84.06,80.94,-2.6,-3.10%,15.16M,16:00:09,C
Bank of America,45.30,46.19,45.04,-0.71,-1.54%,40M,16:00:09,BAC
AT&T,26.15,26.28,25.94,-0.09,-0.34%,32.75M,16:00:09,T
Caterpillar,349.15,356.85,347.45,-3.85,-1.09%,2.17M,16:00:09,CAT
Intel,26.09,26.12,24.48,0.37,1.44%,144.94M,16:00:09,INTC
Microsoft,416.13,419.31,412.54,1.36,0.33%,23.51M,16:00:09,MSFT
Ford Motor,9.39,9.40,9.28,0.05,0.54%,39.79M,16:00:09,F
eBay,69.46,69.57,68.39,0.14,0.20%,2.91M,16:00:09,EBAY
Dell Tech,119.89,121.21,116.77,-1.07,-0.88%,5.48M,16:00:09,DELL
Walt Disney,110.55,111.52,109.38,-0.8,-0.72%,5.97M,16:00:09,DIS
Dow,39.59,39.61,38.93,0.67,1.72%,5.75M,16:00:09,DOW
Cisco,64.67,65.23,64.27,-0.17,-0.26%,14.84M,16:00:09,CSCO
Deere&Company,495.79,509.26,493.11,-13.48,-2.65%,1.51M,16:00:09,DE
FedEx,268.46,268.85,265.09,1.59,0.60%,707.12K,16:00:09,FDX
General Mills,59.19,59.23,57.59,1.2,2.07%,2.95M,16:00:09,GIS
Corning,51.87,52.48,51.08,-0.8,-1.52%,4.07M,16:00:09,GLW
Goldman Sachs,642.26,670.28,631.66,-25.89,-3.87%,3.93M,16:00:09,GS
JPMorgan,266.80,278.74,265.74,-12.45,-4.46%,13.85M,16:00:09,JPM
Kimberly-Clark,138.97,139.75,136.52,1.04,0.75%,2.13M,16:00:09,KMB
Kraft Heinz,30.16,30.25,29.81,0.37,1.24%,8.64M,16:00:09,KHC
Coca-Cola,70.04,70.07,69.42,-0.03,-0.04%,13.4M,16:00:09,KO
McDonald’s,303.05,303.13,298.15,1.11,0.37%,3.02M,16:00:09,MCD
Eli Lilly,873.12,880.32,864.00,6.07,0.70%,2.99M,16:00:09,LLY
Oracle,176.00,180.27,174.43,-5.52,-3.04%,8.74M,16:00:09,ORCL
Merck&Co,87.68,87.70,85.90,2.08,2.43%,14.85M,16:00:09,MRK
Motorola,434.51,439.52,430.16,-4.57,-1.04%,988.41K,16:00:09,MSI
3M,149.08,150.09,148.04,-1.12,-0.75%,2.23M,16:00:09,MMM
Vertex,480.33,481.18,472.80,8.57,1.82%,1.58M,16:00:09,VRTX
Monster Beverage,51.21,51.79,51.00,-0.48,-0.93%,7.03M,16:00:09,MNST
Fifth Third,43.61,44.38,43.24,-0.74,-1.67%,3.46M,16:00:09,FITB
Cintas,205.93,207.22,204.63,-2.21,-1.06%,1.34M,16:00:09,CTAS
Autodesk,291.02,298.93,289.89,-8.04,-2.69%,1.58M,16:00:09,ADSK
Gilead,110.03,110.11,107.43,2.38,2.21%,7.68M,16:00:09,GILD
Alphabet A,184.56,185.31,182.72,-0.71,-0.38%,20.44M,16:00:09,GOOGL
Fiserv,234.43,238.00,234.02,-1.91,-0.81%,3.69M,16:00:09,FISV
Adobe,454.69,461.00,451.57,-2.3,-0.50%,2.34M,16:00:09,ADBE
Qualcomm,173.70,176.39,172.90,-1.52,-0.87%,6.32M,16:00:09,QCOM
Warner Bros Discovery,11.04,11.11,10.80,0.15,1.38%,29.54M,16:00:09,WBD
Applied Materials,176.01,178.37,174.50,1.95,1.12%,6.69M,16:00:09,AMAT
Steel Dynamics,135.07,139.20,134.98,-1.69,-1.24%,1.34M,16:00:09,STLD
Cadence Design,270.23,277.63,268.71,-3.81,-1.39%,3.62M,16:00:09,CDNS
Microchip,64.30,65.34,63.25,0.71,1.12%,14.63M,16:00:09,MCHP
Wynn Resorts,93.47,94.20,91.97,1.21,1.31%,3.41M,16:00:09,WYNN
Intuitive Surgical,606.57,608.17,597.77,-1.91,-0.31%,1.33M,16:00:09,ISRG
Nasdaq Inc,82.54,82.69,81.53,-0.05,-0.06%,1.79M,16:00:09,NDAQ
Henry Schein,78.05,78.69,77.38,0.22,0.28%,1.1M,16:00:09,HSIC
